DATE,HEURE,               OUEST,,                SUD,,          INTERIEUR,,    PLUIE,                         VENT,,,BARO,       LUMINOSITEE,
,,TEMP,HYGRO,TEMP,HYGRO,TEMP,HYGRO,   MM,KM/H,AXE,AMPLITUDE,0 mètre,K LUX,H.SOLEIL
29.03.2005,   0:00,"10,5",92,"10,9",85,"23,7",52,0,0,140,0,991,0, 0:00 
29.03.2005,   0:15,"10,5",92,"10,8",85,"23,8",53,0,0,210,"22,5",990,0, 0:00 
29.03.2005,   0:30,"10,4",92,"10,8",85,"23,9",54,0,0,295,0,990,0, 0:00 
29.03.2005,   0:45,"10,3",92,"10,7",85,"23,7",54,0,0,290,0,991,0, 0:00 
29.03.2005,   1:00,"10,3",92,"10,6",85,"23,8",50,0,0,285,0,990,0, 0:00 
29.03.2005,   1:15,"10,1",92,"10,4",85,"23,7",49,0,"2,8",300,"22,5",990,0, 0:00 
29.03.2005,   1:30,"10,1",91,"10,4",85,"23,7",49,0,"2,6",295,0,990,0, 0:00 
29.03.2005,   1:45,"9,8",91,"10,3",85,"23,5",49,0,0,320,0,990,0, 0:00 
29.03.2005,   2:00,"9,6",91,"10,2",85,"23,3",49,0,0,285,0,990,0, 0:00 
29.03.2005,   2:15,"9,6",91,10,85,"23,3",49,0,0,300,0,990,0, 0:00 
29.03.2005,   2:30,"9,4",91,"9,9",85,"23,3",49,0,0,305,0,990,0, 0:00 
29.03.2005,   2:45,"9,3",91,"9,7",85,"23,2",49,0,"5,1",315,"22,5",990,0, 0:00 
29.03.2005,   3:00,"9,2",90,"9,6",84,"23,1",49,0,"5,2",270,"22,5",990,0, 0:00 
29.03.2005,   3:15,"9,2",91,"9,5",85,23,49,0,0,250,0,990,0, 0:00 
29.03.2005,   3:30,"8,8",92,"9,3",86,"22,9",50,0,0,180,0,990,0, 0:00 
29.03.2005,   3:45,"8,4",92,9,86,"22,8",50,0,0,180,0,990,0, 0:00 
29.03.2005,   4:00,"8,2",93,"8,8",86,"22,7",50,0,0,155,0,990,0, 0:00 
29.03.2005,   4:15,8,93,"8,6",86,"22,7",50,0,0,155,0,990,0, 0:00 
29.03.2005,   4:30,"7,8",93,"8,5",86,"22,7",50,0,0,155,0,990,0, 0:00 
29.03.2005,   4:45,"7,9",93,"8,4",87,"22,6",50,0,0,155,0,990,0, 0:00 
29.03.2005,   5:00,8,93,"8,3",87,"22,7",51,0,0,155,0,990,0, 0:00 
29.03.2005,   5:15,8,93,"8,4",87,"22,7",51,0,0,155,0,990,0, 0:00 
29.03.2005,   5:30,"8,2",94,"8,4",87,"22,7",51,0,0,185,0,990,0, 0:00 
29.03.2005,   5:45,"8,3",94,"8,4",87,"22,8",51,0,0,185,0,990,0, 0:00 
29.03.2005,   6:00,"8,3",94,"8,4",87,"22,7",51,0,0,185,0,990,0, 0:00 
29.03.2005,   6:15,"8,3",94,"8,4",87,"22,6",51,0,0,145,0,990,0, 0:00 
29.03.2005,   6:30,"8,3",94,"8,4",87,"22,6",51,0,0,160,0,990,0, 0:00 
29.03.2005,   6:45,"8,2",94,"8,5",87,"22,6",51,0,0,170,0,990,0, 0:00 
29.03.2005,   7:00,8,93,"8,4",87,"22,4",51,0,0,170,0,990,"0,039", 0:00 
29.03.2005,   7:15,"7,9",93,"8,6",87,"22,5",51,0,0,170,0,990,"0,364", 0:00 
29.03.2005,   7:30,"7,6",93,"8,4",88,"22,6",51,0,0,170,0,990,"1,52", 0:00 
29.03.2005,   7:45,"7,7",94,"8,3",87,"22,6",51,0,0,170,0,990,"2,38", 0:00 
29.03.2005,   8:00,"7,8",94,"8,3",87,"22,6",51,0,0,175,0,990,"4,6", 0:00 
29.03.2005,   8:15,"8,2",94,"8,5",87,"22,6",51,0,0,175,0,990,"8,41", 0:00 
29.03.2005,   8:30,"8,8",94,"8,9",87,"22,6",51,0,0,175,0,990,"12,1", 0:00 
29.03.2005,   8:45,"9,2",94,"9,2",87,"22,7",51,0,0,175,0,990,"16,3", 0:00 
29.03.2005,   9:00,"9,6",94,"9,9",87,"22,6",51,0,0,185,0,990,"18,4", 0:00 
29.03.2005,   9:15,10,93,"10,6",86,"22,5",51,0,0,230,0,990,28, 0:08 
29.03.2005,   9:30,"10,8",93,"11,6",85,"22,5",51,0,0,230,0,990,"42,7", 0:13 
29.03.2005,   9:45,"11,4",91,"12,8",81,"22,4",50,0,"0,3",330,0,990,"45,6", 0:13 
29.03.2005,  10:00,"11,3",89,"12,5",81,"22,5",50,0,0,330,0,990,"30,2", 0:09 
29.03.2005,  10:15,"11,4",89,"11,9",81,"22,6",50,0,"7,8",125,"22,5",990,"21,9", 0:03 
29.03.2005,  10:30,"11,6",89,"11,6",84,"22,6",50,0,"7,4",125,0,990,"28,7", 0:13 
29.03.2005,  10:45,"12,4",87,12,82,"22,6",50,0,"7,9",85,"22,5",990,"33,3", 0:16 
29.03.2005,  11:00,"13,2",83,"12,5",80,"22,7",50,0,"6,5",100,45,990,"36,5", 0:16 
29.03.2005,  11:15,"14,2",78,"12,9",79,"22,7",50,0,"8,1",130,45,990,"42,5", 0:13 
29.03.2005,  11:30,"14,5",76,"13,5",77,"22,8",50,0,"7,1",120,"22,5",990,"58,5", 0:15 
29.03.2005,  11:45,"15,6",70,"15,3",74,"22,9",50,0,8,115,"22,5",990,110, 0:16 
29.03.2005,  12:00,"15,2",73,"16,1",70,"22,7",50,0,"7,7",95,45,990,"96,2", 0:16 
29.03.2005,  12:15,"15,6",69,"17,6",64,"22,7",50,0,"10,1",160,"67,5ｰ",990,"99,8", 0:13 
29.03.2005,  12:30,"17,2",67,"18,7",63,"22,8",50,0,"11,1",160,"67,5ｰ",990,108, 0:16 
29.03.2005,  12:45,"19,2",55,"18,4",62,"22,9",50,0,"12,1",125,"22,5",989,69, 0:13 
29.03.2005,  13:00,"19,5",54,"18,7",60,"23,3",49,0,"10,5",110,45,989,"68,9", 0:16 
29.03.2005,  13:15,"22,3",49,"20,6",58,"23,5",51,0,"5,8",145,45,989,123, 0:15 
29.03.2005,  13:30,"22,4",47,"21,2",53,"23,8",50,0,"11,2",150,45,989,122, 0:16 
29.03.2005,  13:45,"24,5",38,"22,2",45,"24,1",48,0,"9,7",120,"22,5",989,110, 0:16 
29.03.2005,  14:00,"23,6",43,"22,1",47,"24,2",46,0,14,190,45,989,"98,8", 0:13 
29.03.2005,  14:15,"24,7",38,"21,5",47,"24,3",45,0,"14,6",125,"22,5",989,"94,9", 0:16 
29.03.2005,  14:30,"22,8",41,21,47,"24,4",45,0,"10,1",120,45,989,105, 0:16 
29.03.2005,  14:45,"19,7",50,"18,8",54,"24,2",45,0,"12,5",305,"22,5",989,"20,7", 0:05 
29.03.2005,  15:00,"16,5",65,"17,1",64,"23,8",46,0,"18,3",290,"22,5",989,"12,8", 0:00 
29.03.2005,  15:15,"13,8",75,"15,7",68,"23,7",46,0,19,280,"22,5",989,"11,8", 0:00 
29.03.2005,  15:30,"13,8",77,"15,6",69,"23,7",47,0,"12,1",315,45,989,"30,6", 0:08 
29.03.2005,  15:45,"15,3",61,16,61,"23,7",46,0,"24,7",225,45,988,"38,8", 0:13 
29.03.2005,  16:00,"16,2",64,"16,4",63,24,46,0,19,260,"22,5",988,"34,1", 0:16 
29.03.2005,  16:15,"18,7",55,"17,2",60,"24,3",45,0,11,315,"22,5",988,100, 0:16 
29.03.2005,  16:30,"23,7",37,20,47,"24,7",45,0,15,275,45,988,"96,7", 0:13 
29.03.2005,  16:45,"20,4",48,"18,2",56,"25,3",44,0,"20,6",310,"22,5",988,"76,7", 0:15 
29.03.2005,  17:00,"22,3",42,"18,7",54,"25,9",44,0,"12,8",315,"22,5",988,70, 0:14 
29.03.2005,  17:15,"21,9",45,"18,7",56,"26,3",43,0,"12,6",325,"22,5",988,"61,8", 0:18 
