DATE,HEURE,               OUEST,,                SUD,,          INTERIEUR,,    PLUIE,                         VENT,,,BARO,       LUMINOSITEE,
,,TEMP,HYGRO,TEMP,HYGRO,TEMP,HYGRO,   MM,KM/H,AXE,AMPLITUDE,0 mètre,K LUX,H.SOLEIL
 1.01.2008,   0:00,"0,2",91,"-0,2",90,"22,9",38,0,"4,6",330,0,1004,0, 0:00 
 1.01.2008,   0:15,0,92,"-0,3",90,"22,9",38,0,0,330,0,1004,0, 0:00 
 1.01.2008,   0:30,"-0,3",91,"-0,4",90,"22,9",38,0,0,330,0,1003,0, 0:00 
 1.01.2008,   0:45,"-0,3",91,"-0,6",90,"22,8",37,0,0,330,0,1003,0, 0:00 
 1.01.2008,   1:00,"-0,4",91,"-0,6",90,"22,8",37,0,0,330,0,1003,0, 0:00 
 1.01.2008,   1:15,"-0,6",92,"-0,7",90,"22,6",37,0,0,350,"22,5",1003,0, 0:00 
 1.01.2008,   1:30,"-0,6",92,"-0,7",90,"22,7",37,0,0,315,0,1003,0, 0:00 
 1.01.2008,   1:45,"-0,8",91,"-0,9",90,"22,7",37,0,0,315,0,1002,0, 0:00 
 1.01.2008,   2:00,-1,91,"-1,2",90,"22,7",37,0,0,315,0,1002,0, 0:00 
 1.01.2008,   2:15,-1,92,"-1,3",90,"22,5",37,0,0,315,0,1002,0, 0:00 
 1.01.2008,   2:30,-1,92,"-1,1",90,"22,7",37,0,0,315,0,1002,0, 0:00 
 1.01.2008,   2:45,"-0,4",92,"-0,7",91,"22,8",37,0,"5,3",25,"22,5",1003,0, 0:00 
 1.01.2008,   3:00,"-0,2",92,"-0,6",91,"22,9",37,0,0,15,0,1003,0, 0:00 
 1.01.2008,   3:15,"0,1",92,"-0,6",91,"22,8",37,0,0,15,0,1002,0, 0:00 
 1.01.2008,   3:30,"0,1",92,"-0,5",91,"22,8",37,0,0,25,0,1002,0, 0:00 
 1.01.2008,   3:45,"0,1",92,"-0,4",91,"22,8",37,0,0,30,0,1002,0, 0:00 
 1.01.2008,   4:00,"-0,2",92,"-0,5",91,"22,8",37,0,"5,4",355,0,1002,0, 0:00 
 1.01.2008,   4:15,"0,1",93,"-0,4",91,"22,6",37,0,0,345,0,1002,0, 0:00 
 1.01.2008,   4:30,"0,1",93,"-0,4",91,"22,5",37,0,0,350,0,1002,0, 0:00 
 1.01.2008,   4:45,0,93,"-0,4",91,"22,4",37,0,0,350,0,1002,0, 0:00 
 1.01.2008,   5:00,"0,2",93,"-0,3",91,"22,6",37,0,"5,5",75,"22,5",1002,0, 0:00 
 1.01.2008,   5:15,"0,3",93,"-0,2",91,"22,7",37,0,0,85,0,1002,0, 0:00 
 1.01.2008,   5:30,"0,3",93,"-0,2",91,"22,7",37,0,0,90,0,1002,0, 0:00 
 1.01.2008,   5:45,"0,4",93,"-0,2",91,"22,6",37,0,0,90,0,1002,0, 0:00 
 1.01.2008,   6:00,"0,5",93,0,91,"22,5",36,0,0,90,0,1002,0, 0:00 
 1.01.2008,   6:15,"0,5",93,0,91,"22,5",37,0,0,90,0,1001,0, 0:00 
 1.01.2008,   6:30,"0,5",93,0,91,"22,5",37,0,0,90,0,1001,0, 0:00 
 1.01.2008,   6:45,"0,7",93,"0,1",91,"22,4",36,0,"4,6",270,"22,5",1001,0, 0:00 
 1.01.2008,   7:00,"0,6",93,"0,2",91,"22,3",36,0,"5,6",310,"22,5",1001,0, 0:00 
 1.01.2008,   7:15,"0,3",93,"0,1",91,"22,3",36,0,"6,8",315,"22,5",1001,0, 0:00 
 1.01.2008,   7:30,"0,7",93,"0,3",92,"22,5",37,0,"3,8",355,0,1001,0, 0:00 
 1.01.2008,   7:45,"0,7",93,"0,3",92,"22,6",37,0,0,345,0,1001,0, 0:00 
 1.01.2008,   8:00,"0,4",93,"0,1",92,"22,6",36,0,0,345,0,1001,0, 0:00 
 1.01.2008,   8:15,"0,1",93,0,92,"22,5",36,0,0,345,0,1001,"0,169", 0:00 
 1.01.2008,   8:30,"0,4",93,"0,1",92,"22,5",36,0,0,345,0,1001,"0,313", 0:00 
 1.01.2008,   8:45,"0,6",93,"0,2",92,"22,5",36,0,0,345,0,1001,"0,583", 0:00 
 1.01.2008,   9:00,"0,7",93,"0,3",92,"22,4",36,0,3,75,"67,5ｰ",1001,"0,813", 0:00 
 1.01.2008,   9:15,"0,7",93,"0,3",92,"22,3",36,0,0,110,0,1001,"1,26", 0:00 
 1.01.2008,   9:30,"0,7",93,"0,2",92,"22,2",36,0,"5,2",130,0,1001,"2,53", 0:00 
 1.01.2008,   9:45,1,93,"0,4",92,"22,4",36,0,"0,5",175,45,1001,"4,14", 0:00 
 1.01.2008,  10:00,"1,2",93,"0,4",92,"22,6",37,0,0,185,0,1000,"3,13", 0:00 
 1.01.2008,  10:15,"1,2",93,"0,6",92,"22,8",40,0,0,125,0,1001,"2,24", 0:00 
 1.01.2008,  10:30,"1,2",93,"0,7",92,"22,8",41,0,0,125,0,1001,"2,78", 0:00 
 1.01.2008,  10:45,"1,3",93,"0,7",92,23,39,0,0,125,0,1001,"3,29", 0:00 
