DATE,HEURE,  OUEST petite maison,,               NORD,,          INTERIEUR,,    PLUIE,                         VENT,,,BARO,       LUMINOSITEE,
,,TEMP,HYGRO,TEMP,HYGRO,TEMP,HYGRO,   MM,KM/H,AXE,AMPLITUDE,0 mètre,K LUX,H.SOLEIL
 1.01.2018,   0:15,"11,6",71,0,0,"22,4",41,0,"15,4",255,"22,5",984,0, 0:00 
 1.01.2018,   0:30,"11,1",70,0,0,"22,4",41,0,"23,8",220,"67,5ｰ",985,0, 0:00 
 1.01.2018,   0:45,"10,7",71,0,0,"22,4",41,0,"20,3",225,45,985,0, 0:00 
 1.01.2018,   1:00,"10,4",71,0,0,"22,2",41,0,14,250,"22,5",985,0, 0:00 
 1.01.2018,   1:15,"10,1",73,0,0,"22,2",41,0,34,230,45,986,0, 0:00 
 1.01.2018,   1:30,"9,7",73,0,0,22,40,0,"29,9",245,45,986,0, 0:00 
 1.01.2018,   1:45,"9,5",73,0,0,"22,1",40,0,"14,6",195,45,985,0, 0:00 
 1.01.2018,   2:00,"9,3",74,0,0,22,40,0,17,145,"67,5ｰ",986,0, 0:00 
 1.01.2018,   2:15,"9,2",73,0,0,22,41,0,"25,7",210,"22,5",986,0, 0:00 
 1.01.2018,   2:30,"8,9",76,0,0,22,40,0,"15,1",125,"22,5",986,0, 0:00 
 1.01.2018,   2:45,"8,7",74,0,0,"21,9",41,0,"22,6",185,"67,5ｰ",986,0, 0:00 
 1.01.2018,   3:00,9,71,0,0,"21,8",41,0,"11,3",195,"22,5",986,0, 0:00 
 1.01.2018,   3:15,"9,4",69,0,0,"21,8",41,0,"18,4",205,"67,5ｰ",986,0, 0:00 
 1.01.2018,   3:30,"9,6",67,0,0,"21,6",41,0,"25,3",240,"67,5ｰ",986,0, 0:00 
 1.01.2018,   3:45,10,65,0,0,"21,6",41,0,"22,8",215,"22,5",986,0, 0:00 
 1.01.2018,   4:00,"9,7",66,0,0,"21,6",41,0,"23,3",205,45,987,0, 0:00 
 1.01.2018,   4:15,"9,8",65,0,0,"21,4",41,0,"17,9",210,45,987,0, 0:00 
 1.01.2018,   4:30,"9,6",67,0,0,"21,4",41,0,"15,8",185,"67,5ｰ",987,0, 0:00 
 1.01.2018,   4:45,"9,5",68,0,0,"21,4",41,0,"24,1",215,"67,5ｰ",987,0, 0:00 
 1.01.2018,   5:00,"8,9",73,0,0,"21,4",41,0,"18,7",160,"67,5ｰ",987,0, 0:00 
 1.01.2018,   5:15,"8,5",77,0,0,"21,4",41,0,"21,7",165,45,987,0, 0:00 
 1.01.2018,   5:30,"8,2",78,0,0,"21,4",41,0,"13,6",185,"67,5ｰ",987,0, 0:00 
 1.01.2018,   5:45,"8,3",78,0,0,"21,4",43,0,"18,8",205,"22,5",987,0, 0:00 
 1.01.2018,   6:00,"8,1",77,0,0,"21,4",41,0,"12,3",180,45,987,0, 0:00 
 1.01.2018,   6:15,"8,2",75,0,0,"21,4",41,0,"18,5",125,"22,5",987,0, 0:00 
 1.01.2018,   6:30,"7,7",77,0,0,"21,4",41,0,"23,3",175,45,987,0, 0:00 
 1.01.2018,   6:45,"7,5",78,0,0,"21,4",41,0,"11,9",185,"22,5",988,0, 0:00 
 1.01.2018,   7:00,"7,6",77,0,0,"21,4",41,0,"11,1",215,"67,5ｰ",988,0, 0:00 
 1.01.2018,   7:15,"7,5",76,0,0,"21,3",41,0,"15,1",195,"22,5",988,0, 0:00 
 1.01.2018,   7:30,"7,8",74,0,0,"21,2",41,0,"17,1",245,"67,5ｰ",989,0, 0:00 
 1.01.2018,   7:45,"7,8",74,0,0,"21,3",41,0,"8,6",200,"22,5",989,0, 0:00 
 1.01.2018,   8:00,"7,7",73,0,0,"21,2",41,0,12,240,0,989,0, 0:00 
 1.01.2018,   8:15,"7,6",75,0,0,"21,2",42,0,"34,6",275,"22,5",989,"0,077", 0:00 
 1.01.2018,   8:30,7,79,0,0,"21,3",42,0,"20,1",240,"22,5",989,"0,676", 0:00 
 1.01.2018,   8:45,"6,7",80,0,0,"21,8",42,0,16,180,45,989,"0,926", 0:00 
 1.01.2018,   9:00,"7,2",78,0,0,"22,2",42,"0,3",27,220,45,989,"5,91", 0:00 
 1.01.2018,   9:15,"7,1",76,0,0,"22,5",41,0,"8,2",200,0,989,14, 0:00 
 1.01.2018,   9:30,"7,3",77,0,0,"22,6",40,0,"21,2",185,45,989,"16,6", 0:00 
 1.01.2018,   9:45,"7,5",76,0,0,"22,8",40,0,"19,8",185,"22,5",989,"25,5", 0:05 
 1.01.2018,  10:00,"7,7",73,0,0,"22,9",40,0,"28,8",185,"22,5",989,"25,1", 0:06 
 1.01.2018,  10:15,"7,8",75,0,0,"22,8",40,0,24,195,45,989,"30,9", 0:13 
 1.01.2018,  10:30,"8,3",77,0,0,"22,7",39,0,"18,8",165,45,989,"30,7", 0:14 
 1.01.2018,  10:45,"8,4",77,0,0,"22,5",39,0,"22,6",175,45,989,"36,6", 0:05 
 1.01.2018,  11:00,"8,1",79,0,0,"22,5",39,0,25,175,"67,5ｰ",989,"35,7", 0:05 
 1.01.2018,  11:15,"7,9",80,0,0,"22,3",39,0,"29,4",170,45,988,35, 0:00 
 1.01.2018,  11:30,"8,1",80,0,0,"22,2",39,0,"31,7",175,45,988,39, 0:10 
 1.01.2018,  11:45,"8,5",76,0,0,"22,1",39,0,"31,4",175,45,987,"39,8", 0:14 
 1.01.2018,  12:00,"8,5",76,0,0,"22,4",39,0,"38,4",170,45,987,"40,2", 0:10 
 1.01.2018,  12:15,"8,6",75,0,0,"22,4",39,0,"35,5",180,45,987,"28,7", 0:05 
 1.01.2018,  12:30,"8,8",73,0,0,"22,5",39,0,"40,2",180,"22,5",986,"23,9", 0:09 
 1.01.2018,  12:45,"9,2",71,0,0,"22,2",39,0,"36,9",180,45,986,"21,5", 0:11 
 1.01.2018,  13:00,"9,7",69,0,0,"22,3",40,0,"37,8",175,45,985,"34,2", 0:13 
 1.01.2018,  13:15,"10,2",65,0,0,"22,3",40,0,"35,3",175,"67,5ｰ",985,"35,8", 0:15 
 1.01.2018,  13:30,10,65,0,0,"22,6",40,0,"36,9",195,45,984,"23,2", 0:06 
 1.01.2018,  13:45,"9,2",65,0,0,"22,6",40,0,"41,8",190,45,983,"7,32", 0:00 
 1.01.2018,  14:00,"9,2",66,0,0,"22,6",40,0,"37,6",185,45,983,"6,84", 0:00 
 1.01.2018,  14:15,"9,1",66,0,0,"22,6",40,0,"35,7",175,45,983,"6,11", 0:00 
 1.01.2018,  14:30,"9,2",65,0,0,"22,5",40,0,"31,5",175,45,982,"9,92", 0:00 
 1.01.2018,  14:45,"9,2",63,0,0,"22,4",40,0,"38,7",185,45,982,"8,33", 0:00 
 1.01.2018,  15:00,"9,1",62,0,0,"22,2",39,0,"38,7",185,45,981,"5,97", 0:00 
 1.01.2018,  15:15,"8,7",63,0,0,"22,3",39,0,"40,9",210,45,981,"2,58", 0:00 
 1.01.2018,  15:30,"8,7",63,0,0,"22,3",39,0,37,190,45,980,"5,89", 0:00 
 1.01.2018,  15:45,"8,7",64,0,0,"22,4",39,0,25,160,45,980,"5,49", 0:00 
 1.01.2018,  16:00,"8,5",66,0,0,"22,2",39,0,"19,1",160,45,979,"2,66", 0:00 
 1.01.2018,  16:15,"8,3",67,0,0,"22,3",39,0,"28,4",155,45,979,"1,3", 0:00 
 1.01.2018,  16:30,"8,4",66,0,0,"22,1",39,0,"37,9",175,45,979,"1,16", 0:00 
 1.01.2018,  16:45,"8,1",72,0,0,22,39,0,"47,2",185,45,979,"0,613", 0:00 
 1.01.2018,  17:00,"7,4",76,0,0,"21,9",40,0,"28,8",170,"67,5ｰ",978,"0,252", 0:00 
 1.01.2018,  17:15,"6,9",80,0,0,"21,9",40,0,"30,9",150,45,978,"0,054", 0:00 
 1.01.2018,  17:30,"6,6",82,0,0,"21,8",40,0,"25,9",150,45,978,"0,007", 0:00 
 1.01.2018,  17:45,"6,8",82,0,0,"21,6",40,0,"26,1",160,45,977,"0,001", 0:00 
 1.01.2018,  18:00,"7,1",81,0,0,"21,7",40,0,"29,6",170,45,977,0, 0:00 
 1.01.2018,  18:15,"7,7",80,0,0,"21,6",40,0,"36,6",190,45,977,0, 0:00 
 1.01.2018,  18:30,"7,6",81,0,0,"21,6",40,0,"34,9",185,45,977,0, 0:00 
 1.01.2018,  18:45,"7,7",81,0,0,"21,6",40,0,"26,7",185,45,977,0, 0:00 
 1.01.2018,  19:00,"7,5",82,0,0,"21,6",40,0,30,175,"67,5ｰ",978,0, 0:00 
 1.01.2018,  19:15,"7,3",83,0,0,"21,5",40,0,"25,3",185,45,977,0, 0:00 
 1.01.2018,  19:30,"7,4",83,0,0,"21,4",40,0,"34,8",185,45,977,0, 0:00 
 1.01.2018,  19:45,"7,5",82,0,0,"21,2",40,0,"31,8",170,45,977,0, 0:00 
 1.01.2018,  20:00,"7,5",82,0,0,"21,3",40,0,"40,1",175,45,977,0, 0:00 
 1.01.2018,  20:15,"7,5",83,0,0,"21,3",40,0,"34,4",170,45,978,0, 0:00 
 1.01.2018,  20:30,"7,3",84,0,0,"21,3",40,"0,3","37,4",160,45,978,0, 0:00 
 1.01.2018,  20:45,"7,2",83,0,0,"21,4",40,0,"33,4",170,"67,5ｰ",978,0, 0:00 
 1.01.2018,  21:00,"7,1",83,0,0,"21,5",40,0,"32,8",165,"67,5ｰ",979,0, 0:00 
 1.01.2018,  21:15,7,83,0,0,"21,4",40,0,"33,2",175,45,979,0, 0:00 
 1.01.2018,  21:30,"7,2",83,0,0,"21,3",40,0,"24,8",175,45,979,0, 0:00 
 1.01.2018,  21:45,"7,2",83,0,0,"21,2",40,0,"29,1",170,45,980,0, 0:00 
 1.01.2018,  22:00,"7,4",83,0,0,"21,2",40,0,"28,1",160,"67,5ｰ",980,0, 0:00 
 1.01.2018,  22:15,"7,6",81,0,0,"21,1",40,0,27,195,45,981,0, 0:00 
 1.01.2018,  22:30,"7,9",77,0,0,"21,1",41,0,36,230,"22,5",982,0, 0:00 
 1.01.2018,  22:45,"8,1",75,0,0,21,41,0,"33,6",215,"22,5",983,0, 0:00 
 1.01.2018,  23:00,8,75,0,0,"20,9",42,0,"19,8",235,"67,5ｰ",984,0, 0:00 
 1.01.2018,  23:15,8,73,0,0,"20,9",42,0,"25,6",255,"22,5",984,0, 0:00 
 1.01.2018,  23:30,8,72,0,0,21,41,0,"27,8",230,"67,5ｰ",985,0, 0:00 
 1.01.2018,  23:45,8,67,0,0,"21,3",41,0,"23,1",225,"22,5",985,0, 0:00 
 2.01.2018,   0:00,8,65,0,0,"21,7",42,0,"42,3",235,45,986,0, 0:00 
 2.01.2018,   0:15,"7,9",65,0,0,"21,9",42,0,22,270,"22,5",986,0, 0:00 
 2.01.2018,   0:30,8,64,0,0,"21,7",41,0,25,215,45,986,0, 0:00 
 2.01.2018,   0:45,"7,8",64,0,0,"21,6",40,0,"16,5",205,45,986,0, 0:00 
 2.01.2018,   1:00,"7,6",66,0,0,"21,5",40,0,"14,6",170,45,986,0, 0:00 
 2.01.2018,   1:15,"7,7",69,0,0,"21,4",40,0,18,225,"22,5",987,0, 0:00 
 2.01.2018,   1:30,7,74,0,0,"21,2",40,"0,3","18,3",220,"22,5",987,0, 0:00 
 2.01.2018,   1:45,"6,4",77,0,0,"21,2",40,"0,3","0,9",185,0,987,0, 0:00 
