DATE,HEURE,  OUEST petite maison,,          INTERIEUR,,    PLUIE,                         VENT,,,BARO,       LUMINOSITEE,
2020,,TEMP,HYGRO,TEMP,HYGRO,   MM,KM/H,AXE,AMPLITUDE,0 mètre,K LUX,H.SOLEIL
 1.04.2020,   0:30,"1,5",59,22,30,0,"6,7",5,0,999,0, 0:00 
 1.04.2020,   0:45,"0,7",63,22,30,0,"8,1",355,0,999,0, 0:00 
 1.04.2020,   1:00,"0,7",63,22,30,0,"8,1",355,0,999,0, 0:00 
 1.04.2020,   1:15,"1,2",64,"21,9",30,0,"9,2",15,0,998,0, 0:00 
 1.04.2020,   1:30,1,63,"21,7",30,0,"9,6",20,0,998,0, 0:00 
 1.04.2020,   1:45,"0,2",64,"21,5",30,0,7,10,0,998,0, 0:00 
 1.04.2020,   2:00,"-0,5",66,"21,4",29,0,"7,3",10,0,998,0, 0:00 
 1.04.2020,   2:15,"-0,6",66,"21,3",29,0,"6,8",355,0,998,0, 0:00 
 1.04.2020,   2:30,0,67,"21,3",29,0,"9,2",355,0,998,0, 0:00 
 1.04.2020,   2:45,"-0,2",66,21,29,0,"7,2",355,0,998,0, 0:00 
 1.04.2020,   3:00,"-0,6",67,"20,8",30,0,"8,2",355,0,998,0, 0:00 
 1.04.2020,   3:15,"-0,3",68,"20,7",30,0,"10,9",25,"22,5",997,0, 0:00 
 1.04.2020,   3:30,"-0,3",67,"20,7",30,0,12,25,0,997,0, 0:00 
 1.04.2020,   3:45,-1,68,"20,7",30,0,"8,9",355,0,997,0, 0:00 
 1.04.2020,   4:00,"-0,9",69,"20,6",30,0,"9,4",350,0,997,0, 0:00 
 1.04.2020,   4:15,-1,69,"20,5",30,0,"9,6",355,0,997,0, 0:00 
 1.04.2020,   4:30,"-1,1",70,"20,5",30,0,"10,6",355,0,997,0, 0:00 
 1.04.2020,   4:45,"-1,1",70,"20,5",30,0,"8,5",350,0,997,0, 0:00 
 1.04.2020,   5:00,"-1,1",70,"20,4",30,0,"10,3",355,0,997,0, 0:00 
 1.04.2020,   5:15,"-1,2",70,"20,4",30,0,"9,2",350,0,997,0, 0:00 
 1.04.2020,   5:30,"-1,3",70,"20,2",30,0,"8,4",355,0,997,0, 0:00 
 1.04.2020,   5:45,"-1,3",70,"20,2",30,0,"9,4",350,"67,5ｰ",997,0, 0:00 
 1.04.2020,   6:00,"-1,4",71,"20,3",30,0,"8,3",355,0,996,0, 0:00 
 1.04.2020,   6:15,"-1,6",71,"20,2",30,0,"7,9",0,0,997,0, 0:00 
 1.04.2020,   6:30,"-1,7",72,"20,1",30,0,"7,2",350,0,997,0, 0:00 
 1.04.2020,   6:45,"-1,8",72,"20,3",30,0,"7,4",335,0,997,0, 0:00 
 1.04.2020,   7:00,"-1,8",72,"20,2",30,0,"8,7",340,"22,5",997,"0,134", 0:00 
 1.04.2020,   7:15,"-1,8",72,"20,3",30,0,"7,9",350,0,997,"0,751", 0:00 
 1.04.2020,   7:30,"-1,7",73,"20,1",29,0,9,350,0,997,"5,74", 0:00 
 1.04.2020,   7:45,"-1,6",73,"20,1",30,0,"8,5",350,"22,5",997,"9,15", 0:00 
 1.04.2020,   8:00,"-1,2",73,"20,1",30,0,"8,9",335,0,997,"14,5", 0:00 
 1.04.2020,   8:15,"-0,5",73,"20,1",30,0,"9,5",350,"22,5",997,"19,7", 0:00 
 1.04.2020,   8:30,"0,3",71,"20,1",29,0,"10,6",355,"22,5",997,"23,8", 0:11 
 1.04.2020,   8:45,"0,8",70,"20,1",29,0,"10,8",20,"22,5",997,"28,5", 0:16 
 1.04.2020,   9:00,"1,3",69,"20,2",30,0,15,15,"22,5",997,33, 0:15 
 1.04.2020,   9:15,"1,7",68,"20,3",30,0,"12,6",10,"22,5",997,"35,8", 0:11 
 1.04.2020,   9:30,"2,2",66,"20,4",30,0,12,25,"22,5",997,"40,4", 0:18 
 1.04.2020,   9:45,"2,5",66,"20,5",30,0,13,35,0,996,"44,2", 0:16 
 1.04.2020,  10:00,"2,9",64,"20,7",30,0,"9,8",25,"22,5",997,"47,6", 0:16 
 1.04.2020,  10:15,"3,3",65,"20,8",30,0,"11,5",30,"22,5",996,"50,4", 0:13 
 1.04.2020,  10:30,"3,9",64,"20,9",29,0,"11,3",45,45,996,"53,5", 0:16 
 1.04.2020,  10:45,"4,5",62,"20,9",28,0,"15,3",50,"22,5",996,"56,4", 0:15 
 1.04.2020,  11:00,"5,2",60,"20,9",27,0,"16,8",50,"22,5",996,"58,3", 0:13 
 1.04.2020,  11:15,"5,8",59,"21,1",26,0,"12,7",40,"22,5",996,"60,6", 0:16 
 1.04.2020,  11:30,"6,2",56,"21,2",26,0,"10,9",30,"22,5",996,"62,4", 0:16 
 1.04.2020,  11:45,"6,7",57,"21,4",27,0,"11,7",50,"22,5",996,64, 0:16 
 1.04.2020,  12:00,"7,3",55,"21,4",27,0,"14,4",50,"22,5",995,"65,3", 0:13 
 1.04.2020,  12:15,"8,8",51,"21,4",27,0,"14,1",50,"22,5",995,"66,6", 0:16 
 1.04.2020,  12:30,"9,3",47,"21,3",27,0,"14,6",25,"22,5",995,"67,5", 0:15 
 1.04.2020,  12:45,"10,2",47,"21,3",28,0,14,40,0,995,"67,7", 0:11 
 1.04.2020,  13:00,11,43,"21,4",29,0,13,45,"22,5",995,"68,4", 0:18 
 1.04.2020,  13:15,"10,8",43,"21,5",29,0,"13,1",25,45,995,"68,6", 0:16 
 1.04.2020,  13:30,"11,7",42,"21,8",29,0,"9,9",60,"67,5ｰ",994,"68,2", 0:16 
 1.04.2020,  13:45,12,39,"21,7",29,0,"13,6",60,0,994,"67,9", 0:13 
 1.04.2020,  14:00,"11,7",38,"21,7",29,0,"13,8",10,"22,5",994,"67,5", 0:16 
 1.04.2020,  14:15,12,41,"21,8",29,0,18,355,"22,5",994,"66,5", 0:15 
 1.04.2020,  14:30,"12,3",37,"21,8",29,0,"14,6",10,"22,5",994,"65,4", 0:13 
 1.04.2020,  14:45,"12,5",37,22,27,0,"13,3",45,0,993,"64,8", 0:16 
 1.04.2020,  15:00,"13,9",36,"21,9",28,0,"11,1",350,0,993,"62,7", 0:16 
 1.04.2020,  15:15,"14,6",36,22,27,0,"16,4",100,"22,5",993,"60,9", 0:16 
 1.04.2020,  15:30,"15,8",32,22,27,0,"11,6",115,"22,5",993,"58,7", 0:13 
 1.04.2020,  15:45,15,35,"22,1",27,0,"9,3",50,0,992,"56,8", 0:16 
 1.04.2020,  16:00,"15,9",30,22,26,0,"11,1",75,45,992,"54,2", 0:15 
 1.04.2020,  16:15,"15,6",31,"22,2",27,0,"5,9",355,0,992,"51,5", 0:13 
 1.04.2020,  16:30,"16,1",31,"22,5",27,0,"13,9",85,"67,5ｰ",992,"49,3", 0:16 
 1.04.2020,  16:45,"16,5",32,"22,6",27,0,"14,4",155,45,992,"46,3", 0:16 
 1.04.2020,  17:00,"16,7",31,"22,6",27,0,"7,4",205,"22,5",991,"42,9", 0:16 
 1.04.2020,  17:15,"15,7",32,"22,7",27,0,"9,4",15,"22,5",991,"39,5", 0:13 
 1.04.2020,  17:30,"16,8",33,"22,8",27,0,12,100,"22,5",991,"36,9", 0:16 
 1.04.2020,  17:45,17,31,"22,9",27,0,8,90,0,991,"33,5", 0:13 
 1.04.2020,  18:00,"16,6",31,"22,6",27,0,"8,8",120,"22,5",991,"29,2", 0:15 
 1.04.2020,  18:15,"15,5",34,"22,5",27,0,"11,2",95,"22,5",991,"25,5", 0:16 
 1.04.2020,  18:30,"14,3",35,"22,4",27,0,8,80,0,991,"21,2", 0:08 
 1.04.2020,  18:45,"13,5",37,"22,4",27,0,"8,7",70,0,991,17, 0:00 
 1.04.2020,  19:00,"12,8",38,"22,4",26,0,8,55,0,991,13, 0:00 
 1.04.2020,  19:15,"12,3",39,"22,4",27,0,"11,6",55,0,991,"9,73", 0:00 
 1.04.2020,  19:30,"11,8",40,"22,3",27,0,"9,6",60,0,991,"6,24", 0:00 
 1.04.2020,  19:45,"11,2",40,"22,3",27,0,"7,2",35,"22,5",991,"3,37", 0:00 
 1.04.2020,  20:00,"10,7",41,22,28,0,"5,2",35,0,991,"1,32", 0:00 
 1.04.2020,  20:15,"10,1",42,"22,3",29,0,"4,3",35,0,991,"0,409", 0:00 
 1.04.2020,  20:30,"9,7",43,"22,3",29,0,"3,4",35,0,991,"0,057", 0:00 
 1.04.2020,  20:45,"8,4",45,"22,4",28,0,"6,1",355,0,991,"0,001", 0:00 
 1.04.2020,  21:00,"7,6",48,"22,3",28,0,"8,1",0,"22,5",991,0, 0:00 
 1.04.2020,  21:15,"6,8",49,"22,3",29,0,"5,1",5,0,991,0, 0:00 
 1.04.2020,  21:30,"6,3",51,"22,1",29,0,"8,5",350,"22,5",991,0, 0:00 
 1.04.2020,  21:45,"5,6",54,22,29,0,"6,6",340,0,991,0, 0:00 
 1.04.2020,  22:00,"5,1",55,"21,8",30,0,9,350,0,991,0, 0:00 
 1.04.2020,  22:15,"4,8",56,"21,8",30,0,"8,4",335,0,991,0, 0:00 
 1.04.2020,  22:30,"4,7",57,"21,8",30,0,"9,6",325,0,991,0, 0:00 
 1.04.2020,  22:45,"4,4",57,"21,8",30,0,"9,4",330,"22,5",991,0, 0:00 
 1.04.2020,  23:00,"4,1",58,"21,8",30,0,"8,3",325,0,991,0, 0:00 
 1.04.2020,  23:15,"3,9",58,22,30,0,"8,8",325,0,991,0, 0:00 
 1.04.2020,  23:30,"3,9",59,"21,9",30,0,"11,3",320,0,991,0, 0:00 
 1.04.2020,  23:45,"3,9",59,22,29,0,9,320,0,991,0, 0:00 
 2.04.2020,   0:00,"3,8",59,"22,1",30,0,"8,9",330,0,991,0, 0:00 
 2.04.2020,   0:15,"3,9",59,"22,2",31,0,"10,1",320,0,991,0, 0:00 
 2.04.2020,   0:30,"3,9",60,"22,3",31,0,12,310,"22,5",991,0, 0:00 
 2.04.2020,   0:45,"3,9",60,"22,3",31,0,"13,1",320,"22,5",991,0, 0:00 
 2.04.2020,   1:00,"3,6",60,"22,5",30,0,"10,3",335,"22,5",991,0, 0:00 
 2.04.2020,   1:15,"3,7",60,"22,3",30,0,"10,8",310,0,990,0, 0:00 
 2.04.2020,   1:30,"3,5",60,"22,2",30,0,"10,8",315,0,990,0, 0:00 
 2.04.2020,   1:45,"3,3",61,22,29,0,"11,5",320,0,990,0, 0:00 
 2.04.2020,   2:00,"3,1",61,"21,8",30,0,"6,2",310,0,990,0, 0:00 
 2.04.2020,   2:15,3,60,"21,7",30,0,"7,6",310,0,990,0, 0:00 
 2.04.2020,   2:30,3,60,"21,6",29,0,5,310,0,990,0, 0:00 
 2.04.2020,   2:45,"2,5",61,"21,5",29,0,"0,1",310,0,990,0, 0:00 
 2.04.2020,   3:00,"2,5",61,"21,4",29,0,"1,3",310,0,990,0, 0:00 
 2.04.2020,   3:15,"2,3",61,"21,1",29,0,0,310,0,990,0, 0:00 
 2.04.2020,   3:30,"1,8",64,"20,9",30,0,0,310,0,990,0, 0:00 
 2.04.2020,   3:45,"1,1",65,"20,9",30,0,0,310,0,990,0, 0:00 
 2.04.2020,   4:00,"0,7",67,"20,9",30,0,0,310,0,990,0, 0:00 
