Date,Heure,Ch0.Température(C),Ch1.Température(C),Ch1.Index de chaleur(C),Ch0.Humidité(%),Ch1.Humidité(%),Ch1.Point de rosée(C),Direction du vent(deg),Vitesse en rafale(km/h),Direction de la rafale(deg),Vitesse moyenne du vent(km/h),Refroidissement du vent(C),Pluviométrie(mm/h),Chute de pluie par heure (mm),Chute de pluie accumulée (mm),Date de départ du cumul des pluies,Heure de fin du cumul des pluies,Pression (hPa),Conditions météorologiques
1/1/2025,0:01,22.1,-3.4,NA,42,84,-6.0,20,4.0,325,4.7,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.60,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,0:16,22.0,-3.6,NA,42,84,-6.0,321,5.0,341,3.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.40,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,0:31,21.9,-3.6,NA,42,84,-6.0,341,0.0,319,4.7,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.50,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,0:46,21.8,-3.6,NA,42,83,-6.0,272,4.0,304,2.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.40,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,1:01,21.8,-3.6,NA,42,83,-6.0,309,2.9,271,3.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.50,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,1:16,21.7,-3.7,NA,42,84,-6.0,282,0.0,302,3.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.20,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,1:31,21.7,-3.8,NA,42,84,-6.0,303,0.0,302,0.0,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.20,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,1:46,21.8,-3.9,NA,42,84,-6.0,192,3.2,152,2.9,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.20,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,2:01,21.9,-4.0,NA,42,84,-6.0,170,4.7,222,4.0,NA,0.00,0.00,693.18,21/9/2023,12:10,1026.90,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,2:16,22.0,-4.1,NA,41,84,-6.0,221,3.2,221,2.9,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.00,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,2:31,22.0,-4.1,NA,41,84,-6.0,221,3.2,221,2.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.00,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,2:46,22.0,-4.2,NA,41,84,-7.0,203,5.8,160,4.0,NA,0.00,0.00,693.18,21/9/2023,12:10,1027.10,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,3:01,22.0,-4.3,NA,41,84,-7.0,158,2.9,153,4.7,NA,0.00,0.00,693.18,21/9/2023,12:10,1026.90,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,3:16,22.0,-4.3,NA,41,84,-7.0,153,4.0,153,4.0,NA,0.00,0.00,693.18,21/9/2023,12:10,1026.80,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,3:31,22.0,-4.3,NA,41,84,-7.0,155,2.9,169,2.9,NA,0.00,0.00,693.18,21/9/2023,12:10,1026.70,PARTIELLEMENT NUAGEUX LA NUIT
1/1/2025,3:46,21.8,-4.3,NA,41,85,-6.0,170,5.0,169,2.2,NA,0.00,0.00,693.18,21/9/2023,12:10,1026.60,ENNEIGE
