DATE,HEURE,               OUEST,,                SUD,,          INTERIEUR,,    PLUIE,                         VENT,,,BARO,       LUMINOSITEE,
,,TEMP,HYGRO,TEMP,HYGRO,TEMP,HYGRO,   MM,KM/H,AXE,AMPLITUDE,0 mètre,K LUX,H.SOLEIL
 1.01.2006,   0:00,"5,7",90,"5,1",89,"22,5",46,0,"11,4",190,"22,5",979,0, 0:00 
 1.01.2006,   0:15,"5,6",90,"5,1",89,"22,3",46,0,"13,3",185,"22,5",979,0, 0:00 
 1.01.2006,   0:30,"5,6",90,"5,2",90,"22,1",45,0,"15,2",180,"22,5",979,0, 0:00 
 1.01.2006,   0:45,"5,5",90,"4,9",89,"21,9",46,0,"14,4",180,45,979,0, 0:00 
 1.01.2006,   1:00,"5,5",90,"4,9",89,"21,8",46,0,"12,6",190,45,979,0, 0:00 
 1.01.2006,   1:15,"5,4",91,"4,8",89,"22,1",46,0,"10,1",205,45,979,0, 0:00 
 1.01.2006,   1:30,"5,3",92,"4,7",89,"22,2",45,0,"12,5",185,"22,5",979,0, 0:00 
 1.01.2006,   1:45,"5,2",93,"4,7",90,"22,3",45,0,"10,5",205,"22,5",979,0, 0:00 
 1.01.2006,   2:00,"5,1",93,"4,7",90,"22,4",45,0,"11,6",195,"22,5",979,0, 0:00 
 1.01.2006,   2:15,"5,1",94,"4,6",90,"22,2",45,0,10,195,"22,5",979,0, 0:00 
 1.01.2006,   2:30,"4,9",93,"4,5",90,"22,2",45,0,"7,1",195,"22,5",979,0, 0:00 
 1.01.2006,   2:45,"4,7",93,"4,4",91,"22,3",46,0,7,205,"22,5",980,0, 0:00 
 1.01.2006,   3:00,"4,6",93,"4,3",91,"22,4",46,0,"3,7",250,0,980,0, 0:00 
 1.01.2006,   3:15,"4,3",93,"4,4",91,"22,3",46,0,"4,5",120,0,980,0, 0:00 
 1.01.2006,   3:30,"3,9",93,"4,2",91,"22,3",45,0,0,115,0,980,0, 0:00 
 1.01.2006,   3:45,"3,6",93,"3,8",91,"22,4",46,0,"8,6",135,"22,5",980,0, 0:00 
